sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
1,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.02811888236340986,0.29313543599257885,Inf,114,58,0.17810760667903525,0.0
2,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.02794091475351486,0.2912801484230056,64.5,15,30,0.17996289424860853,0.0
3,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.02402562733582488,0.2504638218923933,65.5,2,4,0.17625231910946196,0.0001779676098949991
4,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.02811888236340986,0.29313543599257885,73.5,16,12,0.17439703153988867,0.0001779676098949991
5,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.03897490656700481,0.40630797773654914,85.5,24,50,0.16883116883116883,0.0001779676098949991
6,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.04591564335290977,0.47866419294990725,34.166666666666664,34,55,0.15955473098330242,0.0003559352197899982
7,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06531411283146467,0.6808905380333952,29.5,31,141,0.1614100185528757,0.0007118704395799964
8,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.05018686599038975,0.5231910946196661,Inf,14,34,0.16512059369202226,0.0010678056593699946
9,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.044847837693539776,0.4675324675324675,Inf,0,2,0.16326530612244897,0.0010678056593699946
10,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.048585157501334755,0.5064935064935064,Inf,1,23,0.1614100185528757,0.0012457732692649937
11,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.05410215340807973,0.5640074211502782,Inf,5,53,0.15213358070500926,0.0012457732692649937
12,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06371240434240968,0.6641929499072357,34.125,17,96,0.15769944341372913,0.0014237408791599928
13,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08186510055169958,0.8534322820037106,24.583333333333332,22,170,0.15955473098330242,0.0014237408791599928
14,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07083110873820965,0.738404452690167,50.666666666666664,9,101,0.15584415584415584,0.0019576437088449903
15,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.05588182950702972,0.5825602968460112,76.25,1,10,0.14656771799628943,0.0023135789286349885
16,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.059619149314824704,0.62152133580705,51.333333333333336,3,29,0.14656771799628943,0.002135611318739989
17,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07172094678768465,0.7476808905380334,38.625,1,100,0.14842300556586271,0.0023135789286349885
18,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0786616835735896,0.8200371057513914,53.333333333333336,11,133,0.14471243042671614,0.0023135789286349885
19,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08560242035949457,0.8923933209647495,Inf,9,166,0.14471243042671614,0.0026695141484249867
20,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07189891439757964,0.7495361781076066,166.0,3,82,0.14656771799628943,0.003025449368214985
21,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06104289019398469,0.6363636363636364,166.0,0,18,0.14471243042671614,0.003025449368214985
22,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06228866346324969,0.6493506493506493,Inf,0,26,0.14285714285714285,0.003203416978109984
23,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0802633920626446,0.8367346938775511,169.5,7,114,0.1391465677179963,0.003025449368214985
24,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08168713294180459,0.8515769944341373,172.0,5,119,0.13358070500927643,0.003203416978109984
25,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0786616835735896,0.8200371057513914,173.0,2,100,0.12987012987012986,0.0028474817583199856
26,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06424630717209467,0.6697588126159555,173.0,0,19,0.1280148423005566,0.0028474817583199856
27,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06157679302366969,0.6419294990723562,173.0,0,0,0.12244897959183673,0.003381384588004983
28,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06567004805125468,0.6846011131725418,173.5,1,28,0.11873840445269017,0.003203416978109984
29,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07065314112831465,0.7365491651205937,174.5,2,50,0.12244897959183673,0.003025449368214985
30,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07794981313400962,0.8126159554730983,88.75,6,87,0.11873840445269017,0.0028474817583199856
31,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08560242035949457,0.8923933209647495,90.0,5,127,0.11688311688311688,0.0028474817583199856
32,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07047517351841964,0.7346938775510204,Inf,2,38,0.1150278293135436,0.0028474817583199856
33,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06442427478198967,0.6716141001855288,Inf,0,1,0.1150278293135436,0.003025449368214985
34,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06851752980957465,0.7142857142857143,Inf,2,22,0.1150278293135436,0.0026695141484249867
35,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07901761879337961,0.8237476808905381,Inf,3,81,0.11688311688311688,0.0026695141484249867
36,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0811532301121196,0.8460111317254174,92.0,1,96,0.11317254174397032,0.0023135789286349885
37,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09165331909592454,0.9554730983302412,61.833333333333336,3,153,0.11688311688311688,0.0028474817583199856
38,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07100907634810465,0.7402597402597403,186.0,1,30,0.11688311688311688,0.0026695141484249867
39,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06620395088093967,0.6901669758812616,186.0,0,0,0.11131725417439703,0.0019576437088449903
40,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07118704395799964,0.7421150278293135,186.5,1,28,0.10575139146567718,0.002135611318739989
41,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07652607225484961,0.7977736549165121,93.25,0,65,0.1038961038961039,0.0019576437088449903
42,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0820430681615946,0.8552875695732839,62.5,2,93,0.10018552875695733,0.0023135789286349885
43,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08880583733760455,0.9257884972170687,47.0,1,129,0.09833024118738404,0.002135611318739989
44,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07350062288663463,0.7662337662337663,94.5,2,41,0.10204081632653061,0.0014237408791599928
45,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.06798362697988966,0.7087198515769945,189.0,0,4,0.10018552875695733,0.0019576437088449903
46,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07154297917778964,0.7458256029684601,189.5,1,23,0.10018552875695733,0.002135611318739989
47,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0806193272824346,0.8404452690166976,190.5,2,75,0.10204081632653061,0.0023135789286349885
48,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08471258231001957,0.8831168831168831,Inf,2,99,0.09833024118738404,0.0026695141484249867
49,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09272112475529454,0.9666048237476809,193.5,4,144,0.10575139146567718,0.002135611318739989
50,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07812778074390461,0.8144712430426716,196.0,5,69,0.10204081632653061,0.0026695141484249867
51,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07118704395799964,0.7421150278293135,196.5,1,8,0.09833024118738404,0.0024915465385299874
52,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07350062288663463,0.7662337662337663,197.0,1,21,0.09833024118738404,0.0026695141484249867
53,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08417867948033458,0.8775510204081632,198.0,2,82,0.10204081632653061,0.0026695141484249867
54,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09236518953550454,0.9628942486085343,99.75,3,131,0.09647495361781076,0.0024915465385299874
55,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10322121373909948,1.0760667903525047,67.0,3,195,0.10018552875695733,0.002135611318739989
56,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08898380494749955,0.9276437847866419,50.5,2,103,0.09647495361781076,0.0028474817583199856
57,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07421249332621463,0.7736549165120594,67.33333333333333,0,13,0.10204081632653061,0.0024915465385299874
58,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07581420181526963,0.7903525046382189,101.0,0,25,0.10204081632653061,0.0024915465385299874
59,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08951770777718455,0.9332096474953617,67.83333333333333,3,104,0.10204081632653061,0.0024915465385299874
60,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10322121373909948,1.0760667903525047,68.33333333333333,3,177,0.09647495361781076,0.0024915465385299874
61,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10126357003025449,1.0556586270871986,208.5,7,157,0.09647495361781076,0.002135611318739989
62,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08916177255739455,0.9294990723562152,70.0,3,88,0.09276437847866419,0.0028474817583199856
63,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07599216942516462,0.7922077922077922,210.0,0,8,0.09276437847866419,0.0028474817583199856
64,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07830574835379961,0.8163265306122449,210.5,1,19,0.09461966604823747,0.0028474817583199856
